initial_resistant_fraction,emdr,starting_volume_mm3,window_percent,relapse_day,horizon_days
0.0,True,3100.0,20,11,2000
0.0,True,3300.0,1,indefinite_within_horizon,2000
0.0,True,3300.0,2,indefinite_within_horizon,2000
0.0,True,3300.0,3,indefinite_within_horizon,2000
0.0,True,3300.0,4,indefinite_within_horizon,2000
0.0,True,3300.0,5,indefinite_within_horizon,2000
0.0,True,3300.0,6,116,2000
0.0,True,3300.0,7,72,2000
0.0,True,3300.0,8,68,2000
0.0,True,3300.0,9,71,2000
0.0,True,3300.0,10,71,2000
0.0,True,3300.0,11,69,2000
0.0,True,3300.0,12,69,2000
0.0,True,3300.0,13,71,2000
0.0,True,3300.0,14,71,2000
0.0,True,3300.0,15,71,2000
0.0,True,3300.0,16,69,2000
0.0,True,3300.0,17,69,2000
0.0,True,3300.0,18,69,2000
0.0,True,3300.0,19,12,2000
0.0,True,3300.0,20,12,2000
0.0,True,3500.0,1,indefinite_within_horizon,2000
0.0,True,3500.0,2,indefinite_within_horizon,2000
0.0,True,3500.0,3,indefinite_within_horizon,2000
0.0,True,3500.0,4,indefinite_within_horizon,2000
0.0,True,3500.0,5,indefinite_within_horizon,2000
0.0,True,3500.0,6,indefinite_within_horizon,2000
0.0,True,3500.0,7,97,2000
0.0,True,3500.0,8,81,2000
0.0,True,3500.0,9,81,2000
0.0,True,3500.0,10,84,2000
0.0,True,3500.0,11,83,2000
0.0,True,3500.0,12,83,2000
0.0,True,3500.0,13,84,2000
0.0,True,3500.0,14,84,2000
0.0,True,3500.0,15,84,2000
0.0,True,3500.0,16,83,2000
0.0,True,3500.0,17,83,2000
0.0,True,3500.0,18,13,2000
0.0,True,3500.0,19,13,2000
0.0,True,3500.0,20,13,2000
0.0,True,3700.0,1,indefinite_within_horizon,2000
0.0,True,3700.0,2,indefinite_within_horizon,2000
0.0,True,3700.0,3,indefinite_within_horizon,2000
0.0,True,3700.0,4,indefinite_within_horizon,2000
0.0,True,3700.0,5,indefinite_within_horizon,2000
0.0,True,3700.0,6,indefinite_within_horizon,2000
0.0,True,3700.0,7,indefinite_within_horizon,2000
0.0,True,3700.0,8,104,2000
0.0,True,3700.0,9,105,2000
0.0,True,3700.0,10,104,2000
0.0,True,3700.0,11,104,2000
0.0,True,3700.0,12,104,2000
0.0,True,3700.0,13,104,2000
0.0,True,3700.0,14,104,2000
0.0,True,3700.0,15,104,2000
0.0,True,3700.0,16,104,2000
0.0,True,3700.0,17,103,2000
0.0,True,3700.0,18,103,2000
0.0,True,3700.0,19,103,2000
0.0,True,3700.0,20,16,2000
0.0,True,3900.0,1,indefinite_within_horizon,2000
0.0,True,3900.0,2,indefinite_within_horizon,2000
0.0,True,3900.0,3,indefinite_within_horizon,2000
0.0,True,3900.0,4,indefinite_within_horizon,2000
0.0,True,3900.0,5,indefinite_within_horizon,2000
0.0,True,3900.0,6,indefinite_within_horizon,2000
0.0,True,3900.0,7,indefinite_within_horizon,2000
0.0,True,3900.0,8,indefinite_within_horizon,2000
0.0,True,3900.0,9,138,2000
0.0,True,3900.0,10,142,2000
0.0,True,3900.0,11,139,2000
0.0,True,3900.0,12,139,2000
0.0,True,3900.0,13,140,2000
0.0,True,3900.0,14,141,2000
0.0,True,3900.0,15,141,2000
